"Updates","params_6","params_10","params_3","params_9","params_7","params_1","params_4","params_8","params_2","params_5"
"1690.0","189.32142857142858","209.0","nan","nan","nan","200.90740740740742","587.0","nan","563.6666666666666","384.05757575757576"
"1700.0","191.6086956521739","680.0","nan","nan","nan","221.48","126.0","nan","454.8333333333333","285.39772727272725"
"1710.0","177.28571428571428","nan","nan","69.0","98.0","567.375","382.5","nan","nan","401.07004830917873"
"1720.0","216.68","nan","nan","87.0","nan","206.64473684210526","122.33333333333333","nan","146.0","563.0457516339869"
"1730.0","181.67857142857142","nan","57.5","92.0","nan","213.6764705882353","nan","nan","618.5","482.78717948717957"
"1740.0","173.94117647058823","nan","nan","nan","nan","188.08163265306123","179.0","nan","557.0","385.0555555555556"
"1750.0","170.0","nan","nan","nan","nan","577.4305555555555","nan","nan","329.25","523.8973063973064"
"1760.0","162.0","nan","nan","nan","428.0","234.25806451612902","nan","nan","nan","410.30925925925925"
"1770.0","174.91666666666666","nan","nan","nan","272.0","223.1315789473684","115.0","nan","345.0","383.2439393939394"
"1780.0","188.6206896551724","nan","nan","nan","nan","233.0","nan","nan","766.0","350.18979266347685"
"1790.0","199.8846153846154","nan","nan","nan","nan","263.3372093023256","nan","nan","nan","619.4464285714287"
"1800.0","198.83333333333334","nan","nan","nan","111.0","202.41176470588235","nan","nan","366.0","334.8078093306288"
"1810.0","198.2258064516129","664.0","nan","nan","182.0","225.79545454545453","nan","nan","608.25","365.2070105820106"
"1820.0","176.75","571.4","nan","nan","914.0","218.91666666666666","nan","nan","546.25","455.05854341736693"
"1830.0","158.2258064516129","336.0","nan","nan","nan","176.75438596491227","nan","nan","895.0","492.0962301587301"
"1840.0","190.28","335.54545454545456","nan","nan","nan","214.19148936170214","nan","nan","537.0","362.2631993695824"
"1850.0","162.34615384615384","489.44444444444446","nan","nan","nan","207.58333333333334","79.0","nan","640.0","326.81770833333337"
"1860.0","206.47619047619048","400.6666666666667","nan","nan","92.0","202.31372549019608","178.0","nan","582.5","285.48148148148147"
"1870.0","167.20689655172413","387.4375","nan","nan","138.0","216.0625","nan","nan","nan","445.5671630094044"
