"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_std_grasp_times"
"nan","146.63669390708452","nan","nan","nan","146.63669390708452"
"nan","92.49943214316784","nan","nan","nan","92.49943214316784"
"nan","178.93136116231986","nan","nan","nan","178.93136116231986"
"nan","126.81899435598356","nan","nan","nan","126.81899435598356"
"nan","144.48900037837578","nan","nan","nan","144.48900037837578"
"nan","122.35874973357498","nan","nan","nan","122.35874973357498"
"nan","182.540932922433","nan","nan","nan","182.540932922433"
"nan","197.49024114835956","nan","nan","nan","197.49024114835956"
"3.5355339059327378","112.22202918583528","nan","nan","nan","57.87878154588401"
"nan","86.13689865185609","nan","nan","nan","86.13689865185609"
"nan","138.88906893412366","nan","nan","nan","138.88906893412366"
"nan","77.86953771434729","nan","nan","nan","77.86953771434729"
"nan","162.72672967951073","nan","nan","nan","162.72672967951073"
"nan","179.87225954344822","nan","nan","nan","179.87225954344822"
"nan","148.51715791282558","nan","nan","nan","148.51715791282558"
"nan","107.92027530552875","nan","nan","nan","107.92027530552875"
"nan","118.07868199316479","nan","nan","nan","118.07868199316479"
"nan","113.09285444045612","nan","nan","nan","113.09285444045612"
"nan","109.15400366771188","nan","nan","nan","109.15400366771188"
"nan","117.05317793484492","nan","nan","nan","117.05317793484492"
"nan","108.86345798259178","nan","nan","nan","108.86345798259178"
"nan","138.67813611653972","nan","nan","nan","138.67813611653972"
"nan","105.52399825466372","nan","nan","nan","105.52399825466372"
"nan","110.90116773291832","nan","nan","nan","110.90116773291832"
"nan","109.46942680399039","nan","nan","nan","109.46942680399039"
"nan","116.56324709423781","nan","nan","nan","116.56324709423781"
"nan","101.06871952668355","nan","nan","nan","101.06871952668355"
"nan","120.07967843358874","nan","nan","nan","120.07967843358874"
"nan","105.66154315609658","nan","nan","nan","105.66154315609658"
"nan","91.89685062870704","nan","nan","nan","91.89685062870704"
"nan","108.20138591033515","nan","nan","nan","108.20138591033515"
"nan","130.69974017747631","nan","nan","nan","130.69974017747631"
"nan","110.64340393314937","nan","nan","nan","110.64340393314937"
"nan","194.2067224816959","nan","nan","nan","194.2067224816959"
"nan","104.58045194691016","nan","nan","nan","104.58045194691016"
"nan","86.54618500179416","nan","nan","nan","86.54618500179416"
"nan","149.97793857698093","nan","nan","nan","149.97793857698093"
"nan","80.76412509548422","nan","nan","nan","80.76412509548422"
"nan","98.14993340603664","nan","nan","nan","98.14993340603664"
"nan","186.2629240532771","nan","nan","nan","186.2629240532771"
"nan","100.41726481988287","nan","nan","nan","100.41726481988287"
"nan","153.45144295621773","nan","nan","nan","153.45144295621773"
"nan","89.37260315735438","nan","nan","nan","89.37260315735438"
"nan","148.00660659804936","nan","nan","nan","148.00660659804936"
"nan","88.273909049435","nan","nan","nan","88.273909049435"
"nan","117.39574402117698","nan","nan","nan","117.39574402117698"
"nan","143.89243471552484","nan","nan","nan","143.89243471552484"
"nan","175.65373257131134","nan","nan","nan","175.65373257131134"
"nan","159.49516401644522","nan","nan","nan","159.49516401644522"
"nan","137.16886300836154","nan","nan","nan","137.16886300836154"
"nan","73.53846424766922","nan","nan","nan","73.53846424766922"
"nan","134.75000653103007","nan","nan","nan","134.75000653103007"
"nan","177.68664628230704","nan","nan","nan","177.68664628230704"
"nan","81.2725598557548","nan","nan","nan","81.2725598557548"
"nan","158.9427081094093","nan","nan","nan","158.9427081094093"
"nan","141.7118062793677","nan","nan","nan","141.7118062793677"
"nan","209.91928379318858","nan","nan","nan","209.91928379318858"
"nan","112.58456340051205","nan","nan","nan","112.58456340051205"
"nan","154.27608685603144","nan","nan","nan","154.27608685603144"
"nan","72.35784346031836","nan","nan","nan","72.35784346031836"
"nan","123.5544006601166","nan","nan","nan","123.5544006601166"
"nan","184.3931411083527","nan","nan","nan","184.3931411083527"
"nan","172.81910783620688","nan","nan","nan","172.81910783620688"
"nan","265.8661425362892","nan","nan","nan","265.8661425362892"
"nan","210.9012407107491","nan","nan","nan","210.9012407107491"
"nan","125.73364723196997","nan","nan","nan","125.73364723196997"
"nan","150.46253117263356","nan","nan","197.28279195104676","173.87266156184018"
"nan","99.87414065528277","nan","nan","nan","99.87414065528277"
"nan","239.7235842077221","nan","nan","154.8563850798539","197.289984643788"
"nan","128.5259704832159","nan","nan","nan","128.5259704832159"
"nan","104.57964627717449","nan","nan","nan","104.57964627717449"
"nan","82.41626201122227","nan","nan","nan","82.41626201122227"
"nan","112.14802692912184","nan","nan","nan","112.14802692912184"
"nan","153.27729174037916","nan","nan","nan","153.27729174037916"
"nan","119.56668218764666","nan","nan","nan","119.56668218764666"
"nan","134.67677178776955","nan","nan","nan","134.67677178776955"
"nan","112.68989914355215","nan","nan","nan","112.68989914355215"
"nan","128.37182919399507","nan","nan","nan","128.37182919399507"
"nan","236.78780769502444","nan","nan","nan","236.78780769502444"
"nan","172.68680083548858","nan","nan","nan","172.68680083548858"
"nan","149.25149662930752","nan","nan","nan","149.25149662930752"
"nan","159.12989216563042","nan","nan","nan","159.12989216563042"
"nan","187.34304172397762","nan","nan","nan","187.34304172397762"
"nan","148.81816777135623","nan","nan","nan","148.81816777135623"
"nan","140.10553821788585","nan","nan","nan","140.10553821788585"
"nan","128.29318705204744","nan","nan","nan","128.29318705204744"
