"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_std_grasp_times"
"nan","nan","nan","90.40363045413048","nan","90.40363045413048"
"nan","nan","245.91123059619164","93.45415758484197","nan","169.6826940905168"
"nan","nan","241.04425596419702","139.1958077903352","nan","190.12003187726611"
"nan","nan","32.046840717924134","143.88995392514278","nan","87.96839732153346"
"nan","nan","nan","64.5100137336924","nan","64.5100137336924"
"nan","nan","nan","118.46772127977171","nan","118.46772127977171"
"nan","nan","nan","127.51775690123769","nan","127.51775690123769"
"nan","nan","141.23030836190935","49.82152007349698","nan","95.52591421770316"
"nan","nan","245.86724059947474","45.009763250641385","nan","145.43850192505806"
"nan","nan","190.58777505391052","165.06866459634475","nan","177.82821982512763"
"nan","nan","320.0358052885125","87.98890622713536","nan","204.01235575782394"
"nan","nan","206.8571165482751","109.63132350562981","nan","158.24422002695246"
"nan","nan","577.7062402294093","47.75001749866689","nan","312.7281288640381"
"nan","nan","160.3372314148457","47.11755368804941","nan","103.72739255144755"
"nan","nan","173.0868760670972","152.8263026703152","nan","162.9565893687062"
"nan","nan","187.27052624478844","177.249466383776","nan","182.2599963142822"
"nan","nan","142.87040414638847","48.14398901380025","nan","95.50719658009436"
"nan","nan","168.4389107856812","89.40165156768808","nan","128.92028117668463"
"nan","nan","212.65216773981976","68.23865682818123","nan","140.4454122840005"
"nan","nan","123.53483130459419","124.53855568398026","nan","124.03669349428722"
"nan","nan","185.07599790356392","44.245302862527964","nan","114.66065038304595"
"nan","nan","179.36793064941833","44.970111456052095","nan","112.16902105273522"
"nan","nan","134.1740163618376","102.61822450227835","nan","118.39612043205798"
"nan","nan","207.41745346040676","151.17206852456013","nan","179.29476099248345"
"nan","nan","184.1690922642954","83.29779457251651","nan","133.73344341840595"
"nan","nan","233.91315404731654","67.75533399877301","nan","150.8342440230448"
"nan","nan","119.56122161589732","167.0436530089725","nan","143.3024373124349"
"nan","nan","186.74559588493","88.72666821436299","nan","137.7361320496465"
"nan","nan","125.5318727744117","136.89173761073732","nan","131.2118051925745"
"nan","nan","201.46659642155126","135.0921870974718","nan","168.27939175951153"
"nan","nan","138.2602041730411","99.31765419570486","nan","118.78892918437299"
"nan","nan","135.4629888341222","147.56781240927594","nan","141.5154006216991"
"nan","nan","108.75668196950417","97.53195816194416","nan","103.14432006572417"
"nan","nan","137.86858822461198","93.76222976884293","nan","115.81540899672746"
"nan","nan","121.27807044297155","127.4759923404733","nan","124.37703139172243"
"nan","nan","57.96212465685538","168.62557140995352","nan","113.29384803340446"
"nan","nan","65.88214224406084","139.8680204975202","nan","102.87508137079053"
"nan","nan","189.45302847935685","186.7117605788707","257.4522609468922","211.2056833350399"
"nan","nan","68.02723057586385","51.14691964490688","232.47193378986634","117.21536133687903"
"nan","nan","64.03615219451265","90.12172954600703","nan","77.07894087025984"
"nan","nan","64.83661435689577","65.71783116729685","327.3904396893715","152.64829507118802"
"nan","nan","130.040505101422","81.47193790911486","187.43065384296133","132.9810322844994"
"nan","nan","98.38118044965036","95.73051765545829","295.49893239675004","163.20354350061956"
"nan","nan","161.93324241797913","36.47434935567104","260.43918036014986","152.9489240446"
"nan","nan","90.9819313268134","95.00996757916477","316.6410954587754","167.54433145491785"
"nan","nan","69.68682818860754","100.24415048212215","220.91242608780522","130.28113491951163"
"nan","nan","97.79566837863112","97.41737487499975","197.7038429667201","130.97229540678367"
"nan","nan","114.29704839118094","60.59510074062286","188.17450108115833","121.02221673765405"
"nan","nan","84.99428456720433","176.0855186837063","305.0478054934401","188.70920291478356"
"nan","nan","211.63463938645606","79.17149108107034","207.20648584872478","166.0042054387504"
"nan","nan","209.0373072763169","44.12438010375024","176.9139722334801","143.35855320451574"
"nan","nan","87.68759393685508","65.43843632229147","170.93039519055702","108.01880848323452"
"nan","nan","159.34499259991406","78.05125142790708","178.60715313647196","138.66779905476437"
"nan","nan","91.61669633652508","78.35826989883365","133.1633992848294","101.04612184006271"
"nan","nan","186.62405783027805","89.424866042207","179.29738863527425","151.7821041692531"
