"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_mean_grasp_times"
"328.65625","nan","nan","182.79032258064515","150.42105263157896","220.62254173740803"
"260.09302325581393","nan","nan","159.68571428571428","183.64912280701753","201.14262011618192"
"272.95","609.6666666666666","nan","165.9142857142857","168.11940298507463","304.16258884150676"
"271.35897435897436","104.0","nan","160.11428571428573","175.89830508474577","177.84289128950147"
"325.3142857142857","nan","nan","169.76470588235293","167.4264705882353","220.83515406162465"
"295.3076923076923","nan","nan","156.986301369863","166.56716417910448","206.2870526188866"
"343.70588235294116","171.0","nan","161.0857142857143","160.6153846153846","209.10174531351004"
"268.64285714285717","908.0","nan","169.30882352941177","185.75862068965517","382.927575340481"
"291.76190476190476","nan","nan","172.56716417910448","166.0","210.10968964700308"
"341.42857142857144","844.0","nan","177.546875","171.296875","383.5680803571429"
"354.82142857142856","406.5","nan","162.07246376811594","194.71186440677965","279.526439186581"
"291.8157894736842","384.0","nan","150.85135135135135","172.2295081967213","249.7241622554392"
"254.875","261.0","nan","171.27941176470588","165.65714285714284","213.20288865546217"
"296.1923076923077","nan","nan","165.5142857142857","169.41176470588235","210.3727860374919"
"358.9259259259259","372.6666666666667","nan","160.61971830985917","147.4857142857143","259.92450629704155"
"348.57142857142856","nan","nan","155.17567567567568","187.58064516129033","230.4425831361315"
"321.4864864864865","nan","nan","158.57746478873239","154.61764705882354","211.56053277801414"
"372.0","nan","nan","152.8","145.93055555555554","223.57685185185184"
"288.5121951219512","95.0","nan","158.35135135135135","142.27118644067798","171.03368322849514"
"248.6046511627907","206.0","nan","158.20833333333334","164.26470588235293","194.26942259461924"
"379.7931034482759","nan","nan","168.86567164179104","171.14492753623188","239.9345675420996"
"250.34883720930233","nan","nan","162.3661971830986","140.25","184.32167813080028"
"244.25","134.0","nan","162.74242424242425","150.2051282051282","172.7993881118881"
"322.7647058823529","nan","nan","158.54794520547946","158.77777777777777","213.36347628853673"
"369.3666666666667","nan","nan","147.70833333333334","187.765625","234.946875"
"321.8529411764706","153.0","nan","166.57971014492753","154.29333333333332","198.93149616368285"
