"PandaController_2019_08_11__08_22_13__165309nhlzdqdbhl","PandaController_2019_08_11__14_18_17__188334jzlipczgwe","PandaController_2019_08_11__11_30_38__945755wjtcehpbcy","PandaController_2019_08_11__13_23_12__851503oqrypyiuqc","PandaController_2019_08_11__15_12_46__701247ieqnuidezx","Mean_over_mean_grasp_times"
"nan","234.33333333333334","nan","nan","nan","234.33333333333334"
"nan","199.69230769230768","nan","236.0","nan","217.84615384615384"
"116.0","211.86363636363637","284.0","nan","nan","203.95454545454547"
"nan","209.95454545454547","nan","nan","nan","209.95454545454547"
"nan","205.6206896551724","nan","nan","nan","205.6206896551724"
"nan","211.7058823529412","nan","nan","nan","211.7058823529412"
"nan","253.25","471.0","nan","nan","362.125"
"nan","298.15384615384613","nan","nan","nan","298.15384615384613"
"767.0","239.25","nan","nan","nan","503.125"
"nan","227.42105263157896","nan","nan","nan","227.42105263157896"
"nan","316.94117647058823","nan","nan","nan","316.94117647058823"
"nan","251.6","243.0","nan","nan","247.3"
"nan","244.3181818181818","nan","nan","nan","244.3181818181818"
"nan","205.875","164.0","nan","nan","184.9375"
"119.0","263.625","nan","nan","nan","191.3125"
"466.6666666666667","180.04","nan","nan","nan","323.35333333333335"
"nan","209.8","nan","nan","nan","209.8"
"nan","188.26315789473685","nan","nan","nan","188.26315789473685"
"nan","214.0","nan","nan","nan","214.0"
"nan","208.03571428571428","nan","nan","nan","208.03571428571428"
"nan","217.83333333333334","nan","nan","923.0","570.4166666666666"
"nan","228.85","nan","nan","45.0","136.925"
"nan","212.89655172413794","nan","nan","117.0","164.94827586206895"
"nan","211.96153846153845","nan","nan","nan","211.96153846153845"
"nan","214.4","nan","nan","nan","214.4"
"nan","188.5","nan","nan","nan","188.5"
"nan","209.52","nan","nan","nan","209.52"
"532.5","202.84615384615384","nan","nan","nan","367.6730769230769"
"nan","226.73684210526315","nan","nan","677.0","451.86842105263156"
"248.0","192.3846153846154","nan","nan","nan","220.19230769230768"
"nan","216.66666666666666","nan","nan","579.0","397.8333333333333"
"nan","212.92307692307693","nan","nan","nan","212.92307692307693"
"nan","197.1764705882353","216.0","nan","183.0","198.72549019607845"
"nan","192.2173913043478","nan","nan","nan","192.2173913043478"
"nan","217.1578947368421","nan","nan","nan","217.1578947368421"
"nan","233.8695652173913","nan","nan","nan","233.8695652173913"
"nan","207.9047619047619","nan","nan","993.0","600.452380952381"
"nan","194.88888888888889","nan","nan","nan","194.88888888888889"
"nan","237.05263157894737","nan","nan","nan","237.05263157894737"
"nan","239.14285714285714","nan","nan","nan","239.14285714285714"
"nan","225.8","nan","nan","nan","225.8"
"nan","213.8","nan","nan","nan","213.8"
"nan","187.82142857142858","nan","nan","nan","187.82142857142858"
"nan","201.0","nan","nan","nan","201.0"
"nan","212.5","nan","nan","nan","212.5"
"nan","196.03703703703704","nan","nan","nan","196.03703703703704"
"nan","211.64285714285714","nan","nan","nan","211.64285714285714"
"nan","193.05263157894737","nan","nan","nan","193.05263157894737"
"nan","171.52","nan","nan","nan","171.52"
"nan","198.27586206896552","nan","nan","nan","198.27586206896552"
"nan","235.47058823529412","nan","nan","nan","235.47058823529412"
"nan","212.96","nan","nan","nan","212.96"
"nan","228.0","nan","nan","nan","228.0"
"nan","242.64705882352942","nan","nan","nan","242.64705882352942"
"nan","237.95454545454547","nan","nan","nan","237.95454545454547"
"nan","225.89655172413794","nan","nan","nan","225.89655172413794"
"462.0","197.45454545454547","nan","nan","nan","329.72727272727275"
"nan","216.88888888888889","nan","nan","nan","216.88888888888889"
"nan","184.34615384615384","nan","nan","nan","184.34615384615384"
"nan","188.1875","nan","nan","nan","188.1875"
"nan","235.08","nan","nan","nan","235.08"
"nan","224.16666666666666","nan","nan","nan","224.16666666666666"
"nan","179.32142857142858","nan","nan","nan","179.32142857142858"
"nan","197.3030303030303","nan","nan","nan","197.3030303030303"
"nan","195.77272727272728","nan","nan","nan","195.77272727272728"
"nan","180.70833333333334","nan","nan","198.0","189.35416666666669"
"nan","214.26666666666668","nan","nan","nan","214.26666666666668"
"nan","212.69565217391303","nan","nan","nan","212.69565217391303"
"nan","222.04761904761904","nan","nan","nan","222.04761904761904"
"nan","187.25","nan","nan","nan","187.25"
"nan","198.07407407407408","nan","nan","nan","198.07407407407408"
"nan","194.3030303030303","nan","nan","nan","194.3030303030303"
"nan","195.6153846153846","nan","nan","nan","195.6153846153846"
"502.0","197.24242424242425","nan","nan","nan","349.6212121212121"
"nan","187.96969696969697","nan","nan","nan","187.96969696969697"
"nan","192.24242424242425","nan","nan","nan","192.24242424242425"
"nan","203.0","nan","nan","nan","203.0"
"nan","190.0","nan","nan","nan","190.0"
"521.0","191.5","nan","nan","nan","356.25"
"nan","203.72727272727272","nan","nan","nan","203.72727272727272"
"265.0","195.79166666666666","nan","nan","nan","230.39583333333331"
"nan","199.45","nan","nan","nan","199.45"
"nan","209.0","nan","nan","nan","209.0"
"nan","173.91304347826087","88.0","nan","nan","130.95652173913044"
"nan","199.27272727272728","nan","nan","nan","199.27272727272728"
"nan","176.2258064516129","nan","nan","nan","176.2258064516129"
"nan","185.3235294117647","nan","nan","nan","185.3235294117647"
"nan","180.94285714285715","nan","nan","nan","180.94285714285715"
"nan","191.82608695652175","nan","nan","nan","191.82608695652175"
