"PandaController_2019_08_11__08_04_58__393007hxyxtsccdq","PandaController_2019_08_11__13_55_26__657195mgnbwmrojj","PandaController_2019_08_11__12_36_13__436324samooyzimr","PandaController_2019_08_11__10_24_16__386007rccdsolgrx","PandaController_2019_08_11__15_05_58__438692vdfgieeigo","Mean_over_mean_grasp_times"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"79.0","nan","nan","nan","nan","79.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","355.0","nan","355.0"
"54.0","nan","nan","nan","nan","54.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","151.0","nan","nan","151.0"
"nan","nan","nan","681.0","nan","681.0"
"nan","nan","nan","900.0","nan","900.0"
"98.0","nan","nan","nan","nan","98.0"
"nan","nan","nan","936.0","nan","936.0"
"nan","nan","nan","nan","nan","nan"
"100.0","nan","nan","nan","nan","100.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","404.0","nan","nan","404.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"64.0","nan","nan","nan","nan","64.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"428.0","nan","89.0","nan","nan","258.5"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"615.0","nan","320.0","nan","nan","467.5"
"95.0","nan","nan","nan","nan","95.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"82.0","nan","nan","nan","nan","82.0"
"267.0","nan","nan","nan","nan","267.0"
"nan","nan","nan","nan","nan","nan"
"159.0","nan","nan","nan","nan","159.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"164.0","nan","nan","nan","nan","164.0"
"144.5","nan","nan","nan","nan","144.5"
"129.0","nan","549.0","nan","nan","339.0"
"nan","nan","514.5","nan","nan","514.5"
"85.0","nan","nan","nan","nan","85.0"
"nan","nan","nan","nan","104.0","104.0"
"151.0","nan","nan","nan","nan","151.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"67.0","nan","nan","nan","nan","67.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","346.3333333333333","nan","87.0","216.66666666666666"
"nan","nan","616.0","nan","nan","616.0"
"111.0","nan","nan","nan","nan","111.0"
"nan","nan","nan","nan","nan","nan"
"237.0","nan","nan","nan","55.0","146.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","100.5","100.5"
"222.0","nan","nan","nan","nan","222.0"
"198.0","nan","nan","nan","112.0","155.0"
"313.0","nan","nan","nan","nan","313.0"
"nan","nan","nan","nan","nan","nan"
"182.0","nan","nan","nan","nan","182.0"
"246.5","nan","83.0","nan","nan","164.75"
"172.0","nan","nan","nan","nan","172.0"
"nan","nan","nan","nan","nan","nan"
"334.0","nan","nan","nan","nan","334.0"
"71.0","nan","nan","nan","nan","71.0"
"nan","nan","72.0","nan","nan","72.0"
"217.0","nan","nan","nan","nan","217.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"138.0","nan","nan","nan","nan","138.0"
"nan","nan","nan","210.0","nan","210.0"
"nan","nan","nan","747.0","nan","747.0"
"nan","nan","nan","608.0","nan","608.0"
"170.5","nan","nan","761.0","nan","465.75"
"128.0","nan","nan","695.3333333333334","nan","411.6666666666667"
"nan","nan","nan","395.5","nan","395.5"
"nan","nan","913.0","nan","nan","913.0"
"126.0","nan","nan","604.0","nan","365.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","691.0","324.0","nan","507.5"
"nan","nan","nan","nan","nan","nan"
"863.0","nan","nan","nan","nan","863.0"
"nan","nan","nan","365.5","nan","365.5"
"751.0","nan","nan","647.0","nan","699.0"
"nan","nan","nan","497.0","99.0","298.0"
