"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_mean_grasp_times"
"nan","225.79545454545453","nan","nan","nan","225.79545454545453"
"nan","218.91666666666666","nan","nan","nan","218.91666666666666"
"nan","176.75438596491227","nan","nan","nan","176.75438596491227"
"nan","214.19148936170214","nan","nan","nan","214.19148936170214"
"nan","207.58333333333334","nan","nan","nan","207.58333333333334"
"nan","202.31372549019608","nan","nan","nan","202.31372549019608"
"nan","216.0625","nan","nan","nan","216.0625"
"nan","242.6595744680851","nan","nan","nan","242.6595744680851"
"nan","237.7","nan","nan","nan","237.7"
"nan","227.0","nan","nan","nan","227.0"
"nan","186.83636363636364","nan","nan","nan","186.83636363636364"
"nan","235.0","nan","nan","nan","235.0"
"nan","239.59183673469389","nan","nan","nan","239.59183673469389"
"nan","203.66666666666666","nan","nan","nan","203.66666666666666"
"nan","203.3673469387755","nan","nan","nan","203.3673469387755"
"nan","216.26","nan","nan","nan","216.26"
"nan","184.22222222222223","nan","nan","nan","184.22222222222223"
"nan","204.19607843137254","nan","nan","nan","204.19607843137254"
"nan","220.88679245283018","nan","nan","nan","220.88679245283018"
"nan","179.9090909090909","nan","nan","nan","179.9090909090909"
"nan","200.48333333333332","nan","nan","nan","200.48333333333332"
"nan","175.30882352941177","nan","nan","nan","175.30882352941177"
"nan","224.3125","nan","nan","nan","224.3125"
"nan","182.45901639344262","nan","nan","nan","182.45901639344262"
"nan","203.8490566037736","nan","nan","nan","203.8490566037736"
"nan","204.47169811320754","nan","nan","nan","204.47169811320754"
"nan","186.27586206896552","nan","nan","nan","186.27586206896552"
"nan","180.18965517241378","nan","nan","nan","180.18965517241378"
"nan","193.0","nan","nan","nan","193.0"
"nan","189.20754716981133","nan","nan","nan","189.20754716981133"
"nan","174.6086956521739","nan","nan","nan","174.6086956521739"
"nan","206.22641509433961","nan","nan","nan","206.22641509433961"
"nan","202.27777777777777","nan","nan","nan","202.27777777777777"
"nan","191.24074074074073","nan","nan","nan","191.24074074074073"
"865.0","192.06451612903226","72.0","nan","nan","376.3548387096774"
"nan","192.77777777777777","nan","nan","nan","192.77777777777777"
"nan","195.3448275862069","nan","nan","nan","195.3448275862069"
"nan","257.1666666666667","nan","nan","nan","257.1666666666667"
"nan","197.01694915254237","nan","nan","nan","197.01694915254237"
"nan","187.05","nan","nan","nan","187.05"
"nan","180.64615384615385","nan","nan","nan","180.64615384615385"
"nan","201.07142857142858","nan","nan","nan","201.07142857142858"
"nan","187.58620689655172","nan","nan","nan","187.58620689655172"
"nan","218.51923076923077","nan","623.0","nan","420.75961538461536"
"nan","180.42","nan","nan","nan","180.42"
"nan","163.75409836065575","nan","nan","nan","163.75409836065575"
"nan","236.47916666666666","nan","849.0","nan","542.7395833333334"
"nan","246.91836734693877","nan","815.0","nan","530.9591836734694"
"586.0","194.73076923076923","nan","926.0","nan","568.9102564102565"
