"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_mean_grasp_times"
"nan","nan","nan","174.08333333333334","nan","174.08333333333334"
"nan","nan","nan","197.71875","nan","197.71875"
"nan","nan","nan","246.36","917.0","581.6800000000001"
"nan","nan","nan","187.21052631578948","nan","187.21052631578948"
"nan","nan","nan","245.73333333333332","nan","245.73333333333332"
"nan","nan","nan","207.7391304347826","nan","207.7391304347826"
"nan","nan","nan","216.6","nan","216.6"
"nan","nan","nan","197.25","nan","197.25"
"nan","nan","nan","200.3913043478261","nan","200.3913043478261"
"nan","nan","535.0","185.64285714285714","nan","360.32142857142856"
"nan","nan","nan","207.57692307692307","nan","207.57692307692307"
"nan","nan","876.0","189.93939393939394","nan","532.969696969697"
"nan","nan","403.0","204.0","nan","303.5"
"nan","nan","nan","182.8235294117647","nan","182.8235294117647"
"nan","nan","552.3333333333334","196.29032258064515","nan","374.31182795698925"
"nan","nan","704.6666666666666","222.48275862068965","nan","463.57471264367814"
"nan","nan","669.0","225.66666666666666","nan","447.3333333333333"
"nan","nan","395.0","186.44827586206895","nan","290.7241379310345"
"nan","nan","407.0","218.6206896551724","nan","312.8103448275862"
"nan","nan","513.0","218.27586206896552","nan","365.6379310344828"
"nan","nan","670.0","188.53571428571428","nan","429.2678571428571"
"nan","nan","750.2","185.0","nan","467.6"
"nan","nan","486.2","272.8695652173913","nan","379.53478260869565"
"nan","nan","787.25","209.04761904761904","nan","498.1488095238095"
"nan","nan","481.6666666666667","218.20689655172413","nan","349.9367816091954"
"nan","nan","573.5","185.76470588235293","nan","379.63235294117646"
"nan","nan","416.44444444444446","172.37142857142857","nan","294.4079365079365"
"nan","nan","374.3333333333333","243.45454545454547","nan","308.8939393939394"
"nan","nan","406.25","250.04","nan","328.145"
"nan","nan","283.42857142857144","184.53333333333333","nan","233.98095238095237"
"nan","nan","331.5","192.03030303030303","nan","261.7651515151515"
"nan","nan","561.7777777777778","174.33333333333334","nan","368.0555555555556"
"nan","nan","315.3636363636364","221.0","nan","268.1818181818182"
"nan","nan","344.375","169.19444444444446","nan","256.78472222222223"
"nan","nan","409.3636363636364","159.42857142857142","nan","284.3961038961039"
"nan","nan","339.3333333333333","194.375","nan","266.85416666666663"
"nan","nan","412.0","236.07407407407408","nan","324.03703703703707"
"nan","nan","433.6363636363636","198.5483870967742","nan","316.09237536656894"
"nan","nan","356.5","175.21621621621622","nan","265.8581081081081"
"nan","nan","280.2","224.21428571428572","nan","252.20714285714286"
"nan","nan","314.07142857142856","198.03703703703704","nan","256.0542328042328"
"nan","267.0","243.1818181818182","228.56521739130434","952.0","422.6867588932806"
"nan","nan","313.5","217.55172413793105","82.0","204.3505747126437"
"nan","nan","269.6666666666667","185.94117647058823","nan","227.80392156862746"
"nan","nan","264.30434782608694","231.4814814814815","nan","247.8929146537842"
"nan","nan","230.64285714285714","199.96875","870.0","433.53720238095235"
"nan","nan","290.3809523809524","195.91304347826087","994.0","493.4313319530711"
"nan","nan","243.7037037037037","209.29166666666666","nan","226.49768518518516"
"nan","nan","217.35","260.8","980.0","486.05"
"nan","nan","208.96","204.7","848.0","420.5533333333333"
"nan","170.0","272.15","219.80769230769232","707.5","342.36442307692306"
"nan","nan","185.58823529411765","170.31034482758622","623.8","326.5661933739013"
"nan","nan","186.41666666666666","191.63636363636363","153.0","177.01767676767676"
"nan","nan","189.82608695652175","211.66666666666666","315.5","238.9975845410628"
"nan","nan","247.07142857142858","209.52","396.25","284.28047619047624"
"nan","nan","203.24","195.53571428571428","400.42857142857144","266.4014285714286"
"nan","972.0","228.875","174.63333333333333","447.1666666666667","455.66875"
"nan","nan","200.61290322580646","212.3181818181818","457.25","290.0603616813294"
"nan","nan","208.43333333333334","219.47058823529412","722.5","383.4679738562092"
"nan","nan","223.91666666666666","231.83333333333334","397.85714285714283","284.5357142857143"
"nan","nan","218.6206896551724","196.63636363636363","491.25","302.1690177638454"
"nan","nan","188.8181818181818","236.42857142857142","437.1818181818182","287.4761904761904"
"nan","nan","264.29411764705884","195.0625","370.55555555555554","276.63739106753815"
"nan","nan","264.9375","182.06666666666666","495.375","314.12638888888887"
"nan","nan","182.625","182.41176470588235","603.8","322.9455882352941"
"nan","nan","256.92","196.25806451612902","403.1666666666667","285.4482437275986"
"nan","nan","220.71428571428572","209.53846153846155","314.90909090909093","248.3872793872794"
"nan","811.0","290.59090909090907","210.16","462.125","443.4689772727273"
"nan","nan","171.25806451612902","255.66666666666666","270.375","232.43324372759855"
"nan","nan","260.6","218.2","335.625","271.47499999999997"
"nan","696.0","269.125","189.5151515151515","323.35714285714283","369.4993235930736"
"nan","133.0","254.5","171.03333333333333","254.22222222222223","203.18888888888887"
"nan","nan","308.3809523809524","163.63636363636363","229.94117647058823","233.98616416263476"
"nan","nan","269.5833333333333","194.82142857142858","283.6666666666667","249.3571428571429"
"nan","394.0","202.0","191.84375","274.29411764705884","265.5344669117647"
"nan","542.0","200.70833333333334","210.6551724137931","281.64285714285717","308.7515907224959"
"nan","884.0","187.85714285714286","194.58823529411765","273.0","384.8613445378151"
"nan","386.0","221.6206896551724","200.26923076923077","265.4782608695652","268.34204532349213"
"nan","nan","175.37142857142857","178.47222222222223","260.3809523809524","204.7415343915344"
"nan","219.0","174.27777777777777","175.71428571428572","316.6666666666667","221.41468253968253"
"nan","910.0","171.06451612903226","202.5","349.6363636363636","408.3002199413489"
"nan","842.3333333333334","207.76666666666668","189.93103448275863","277.3125","379.3358836206897"
"nan","nan","174.78378378378378","176.0","251.92","200.90126126126123"
"nan","368.0","170.32258064516128","174.32258064516128","169.70967741935485","220.58870967741933"
"nan","nan","153.57142857142858","226.92857142857142","339.52941176470586","240.00980392156862"
"nan","308.5","154.2","196.0","254.8695652173913","228.39239130434783"
"nan","456.42857142857144","155.38095238095238","226.82142857142858","303.3333333333333","285.49107142857144"
"nan","400.0","149.2608695652174","216.75862068965517","225.8695652173913","247.97226386806597"
"nan","251.5","179.31428571428572","185.3939393939394","212.64","207.21205627705626"
"nan","494.2857142857143","177.53333333333333","193.75757575757575","167.2941176470588","258.21768525592057"
"nan","618.0","175.08333333333334","240.94444444444446","281.0625","328.77256944444446"
"nan","506.7142857142857","158.4848484848485","183.0","370.0833333333333","304.5706168831169"
"nan","746.5","155.61111111111111","196.0909090909091","329.1875","356.847380050505"
"nan","441.5","170.82857142857142","184.4857142857143","317.22222222222223","278.50912698412696"
"nan","387.6666666666667","158.8235294117647","227.82142857142858","252.94117647058823","256.813200280112"
"nan","316.8","159.25641025641025","181.13793103448276","270.0416666666667","231.8090019893899"
"nan","383.6666666666667","155.53571428571428","167.3684210526316","192.84848484848484","224.85482171337435"
"nan","286.1818181818182","161.56410256410257","200.26923076923077","253.6","225.40378787878788"
"nan","484.22222222222223","166.72","179.33333333333334","163.875","248.5376388888889"
"nan","379.45454545454544","142.28947368421052","201.80769230769232","250.68","243.5579278616121"
"nan","467.2142857142857","141.25","208.13333333333333","300.95238095238096","279.38750000000005"
"nan","352.4","141.6590909090909","197.57142857142858","226.69565217391303","229.5815429136081"
"nan","388.84615384615387","143.2325581395349","211.26666666666668","226.10526315789474","242.36266045256252"
"nan","355.375","140.46875","207.32","214.75","229.47843749999998"
"nan","392.75","139.69767441860466","228.0","175.0","233.86191860465118"
"nan","304.6666666666667","143.3421052631579","239.30769230769232","280.1333333333333","241.86244939271253"
"nan","422.8","141.86486486486487","198.34375","271.6875","258.6740287162162"
"nan","306.0","159.825","194.2962962962963","288.36842105263156","237.12242933723198"
"nan","363.8333333333333","146.06896551724137","178.0","221.06666666666666","227.24224137931031"
"nan","372.1764705882353","158.61764705882354","214.61111111111111","181.88888888888889","231.8235294117647"
"nan","301.5238095238095","173.25","186.0","187.75","212.13095238095238"
"nan","401.5","150.97058823529412","177.86206896551724","252.61904761904762","245.73792620496474"
"nan","317.1","163.08823529411765","203.9","189.8235294117647","218.4779411764706"
"nan","298.55","164.94736842105263","218.38095238095238","235.38095238095238","229.31481829573937"
"nan","355.4736842105263","161.69230769230768","226.92592592592592","336.6470588235294","270.1847441630723"
"nan","285.09090909090907","169.23076923076923","229.45833333333334","348.75","258.1325029137529"
"nan","364.0","167.38709677419354","209.76","186.82608695652175","231.99329593267882"
"nan","322.05263157894734","149.47222222222223","214.8","304.3333333333333","247.66454678362572"
"nan","293.5652173913044","146.69444444444446","208.75","210.5","214.8774154589372"
"nan","299.55","177.72222222222223","229.75","259.1578947368421","241.54502923976608"
"nan","304.8636363636364","191.0","208.26923076923077","218.41666666666666","230.63738344988346"
"nan","246.45833333333334","169.1","231.6086956521739","263.90909090909093","227.76902997364954"
"nan","290.6818181818182","154.36666666666667","245.5","200.09677419354838","222.6613147605083"
"nan","306.15","195.5","222.25","224.75","237.1625"
"nan","324.57142857142856","140.3","223.17857142857142","242.22727272727272","232.56931818181818"
"nan","301.4761904761905","149.11111111111111","214.6","179.31034482758622","211.12441160372197"
"nan","417.93333333333334","157.30769230769232","218.1578947368421","194.375","246.94348009446693"
"nan","363.8","177.95","220.0344827586207","186.08823529411765","236.9681795131846"
