"PandaController_2019_07_11__12_38_56__003753pjrlfmwpaq","PandaController_2019_08_11__08_44_15__029093xujaljzgvp","PandaController_2019_08_11__13_43_29__538220tchgjwbcpz","PandaController_2019_08_11__14_54_44__896737sajfowubaj","PandaController_2019_08_11__12_01_14__539129fwkiflmbhc","Mean_over_mean_grasp_times"
"nan","307.0","nan","nan","nan","307.0"
"nan","nan","nan","nan","nan","nan"
"130.0","497.5","224.0","nan","nan","283.8333333333333"
"nan","nan","nan","nan","nan","nan"
"nan","645.0","nan","nan","nan","645.0"
"769.0","233.0","843.0","nan","nan","615.0"
"976.0","nan","nan","nan","nan","976.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"397.0","nan","311.0","223.0","nan","310.3333333333333"
"nan","nan","nan","nan","nan","nan"
"nan","nan","706.0","106.0","nan","406.0"
"470.0","nan","507.5","nan","387.0","454.8333333333333"
"nan","nan","nan","530.0","nan","530.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"219.0","nan","nan","nan","nan","219.0"
"nan","nan","576.5","nan","nan","576.5"
"nan","nan","413.0","nan","nan","413.0"
"nan","nan","811.0","154.0","nan","482.5"
"318.0","nan","nan","nan","nan","318.0"
"nan","nan","688.0","494.0","nan","591.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","452.0","nan","nan","452.0"
"nan","nan","326.0","nan","nan","326.0"
"nan","nan","175.0","nan","nan","175.0"
"74.0","nan","nan","193.0","nan","133.5"
"nan","nan","nan","219.0","nan","219.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","344.0","nan","nan","344.0"
"nan","nan","791.0","nan","nan","791.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","436.0","nan","nan","436.0"
"51.0","nan","nan","nan","nan","51.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","392.0","nan","nan","392.0"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","nan","nan","nan","nan"
"nan","nan","402.0","nan","nan","402.0"
"nan","nan","nan","nan","nan","nan"
