"PandaController_2019_08_11__15_19_02__148767vjuribgiiz","PandaController_2019_08_11__15_19_34__478560dcxzbosnrv","PandaController_2019_08_11__15_34_38__360623vyziwdnqsj","PandaController_2019_08_11__15_36_11__029089ybyhkobuwk","PandaController_2019_08_11__15_41_05__262730fzyxnprhgl","Mean_over_grasps","Std_over_grasps"
"0.0","17.0","31.0","25.0","23.0","19.2","10.590561835898981"
"0.0","19.0","36.0","30.0","15.0","20.0","12.505998560690786"
"0.0","23.0","36.0","24.0","20.0","20.6","11.655041827466771"
"0.0","20.0","18.0","28.0","19.0","17.0","9.20869154657707"
"0.0","22.0","23.0","26.0","24.0","19.0","9.591663046625438"
"0.0","24.0","20.0","23.0","22.0","17.8","8.997777503361593"
"0.0","22.0","30.0","22.0","31.0","21.0","11.171392035015153"
"0.0","20.0","10.0","24.0","24.0","15.6","9.32952303175248"
"0.0","21.0","30.0","28.0","22.0","20.2","10.665833300778706"
"0.0","21.0","36.0","25.0","29.0","22.2","12.155657119218196"
"0.0","15.0","26.0","19.0","32.0","18.4","10.892199043352083"
"0.0","15.0","20.0","29.0","34.0","19.6","11.84229707446997"
"0.0","28.0","25.0","27.0","28.0","21.6","10.85541339608953"
"0.0","21.0","30.0","28.0","22.0","20.2","10.665833300778706"
"0.0","15.0","17.0","30.0","29.0","18.2","10.943491216243562"
"0.0","22.0","36.0","31.0","33.0","24.4","13.062924634246345"
"0.0","26.0","28.0","21.0","34.0","21.8","11.668761716651858"
"0.0","23.0","37.0","29.0","35.0","24.8","13.332666649999167"
"0.0","22.0","42.0","25.0","36.0","25.0","14.449913494550755"
"0.0","24.0","39.0","24.0","34.0","24.2","13.422369388450013"
"0.0","19.0","37.0","29.0","35.0","24.0","13.535139452550904"
"0.0","15.0","35.0","26.0","38.0","22.8","13.934130758680285"
"0.0","24.0","32.0","31.0","36.0","24.6","12.893409169028958"
"0.0","25.0","44.0","26.0","28.0","24.6","14.10815367083872"
"0.0","19.0","45.0","29.0","32.0","25.0","15.006665185843255"
"0.0","28.0","44.0","31.0","22.0","25.0","14.422205101855956"
"0.0","24.0","43.0","32.0","26.0","25.0","14.142135623730951"
"0.0","21.0","28.0","32.0","31.0","22.4","11.84229707446997"
"0.0","26.0","30.0","23.0","31.0","22.0","11.366617790706258"
"0.0","25.0","19.0","22.0","20.0","17.2","8.840814442120138"
