"PandaController_2019_08_11__07_58_24__024733gzfwxrhysh","PandaController_2019_08_11__10_19_04__127417bjsoeijqno","PandaController_2019_08_11__13_52_10__020172aunazfahtv","PandaController_2019_08_11__15_00_58__017286qhcugfzows","PandaController_2019_08_11__12_31_14__388038vpxtxvdzcw","Mean_over_grasps","Std_over_grasps"
"1.0","0.0","0.0","34.0","35.0","14.0","16.745148551147583"
"7.0","0.0","1.0","28.0","36.0","14.4","14.786480311419618"
"6.0","0.0","0.0","27.0","47.0","16.0","18.40652058374966"
"3.0","1.0","0.0","32.0","40.0","15.2","17.19767426136453"
"3.0","1.0","0.0","27.0","38.0","13.8","15.68948692596415"
"10.0","2.0","0.0","29.0","44.0","17.0","16.946976131451887"
"11.0","0.0","0.0","35.0","43.0","17.8","17.948816116947658"
"10.0","1.0","0.0","39.0","51.0","20.2","20.894018282752604"
"18.0","0.0","0.0","40.0","51.0","21.8","20.730653631759903"
"17.0","0.0","0.0","42.0","48.0","21.4","20.333224043422135"
"14.0","1.0","0.0","47.0","58.0","24.0","24.041630560342615"
"9.0","0.0","0.0","41.0","32.0","16.4","16.977632343763368"
"16.0","0.0","0.0","48.0","30.0","18.8","18.400000000000002"
"24.0","0.0","0.0","47.0","39.0","22.0","19.421637418096342"
"22.0","0.0","0.0","48.0","40.0","22.0","19.83935482821959"
"28.0","0.0","0.0","42.0","47.0","23.4","20.095770699328753"
"33.0","0.0","0.0","42.0","57.0","26.4","22.878811157925142"
"37.0","0.0","0.0","48.0","51.0","27.2","22.69273011340857"
"43.0","0.0","0.0","43.0","81.0","33.4","30.59803915286076"
"47.0","0.0","0.0","53.0","59.0","31.8","26.24042682579687"
"43.0","0.0","0.0","45.0","43.0","26.2","21.40467238712146"
"40.0","0.0","1.0","41.0","56.0","27.6","22.843817544359784"
"43.0","0.0","0.0","50.0","66.0","31.8","27.014070407844873"
"32.0","0.0","0.0","54.0","56.0","28.4","24.67063031217484"
"41.0","0.0","0.0","57.0","57.0","31.0","25.97691282658507"
"39.0","0.0","0.0","58.0","61.0","31.6","26.881964213948354"
"44.0","0.0","0.0","53.0","67.0","32.8","27.76616646208115"
"46.0","0.0","0.0","44.0","67.0","31.4","26.87452325158532"
"44.0","0.0","0.0","52.0","63.0","31.8","26.656331330473815"
"43.0","0.0","0.0","51.0","51.0","29.0","23.85791273351464"
"41.0","0.0","1.0","48.0","54.0","28.8","23.47253714450144"
"35.0","0.0","0.0","46.0","57.0","27.6","23.58474082961269"
"41.0","0.0","0.0","50.0","67.0","31.6","27.118997031601296"
"35.0","0.0","0.0","46.0","65.0","29.2","25.701361831622854"
"36.0","0.0","0.0","42.0","63.0","28.2","24.709512338368803"
"41.0","0.0","0.0","44.0","64.0","29.8","25.584370228715812"
"43.0","0.0","1.0","54.0","70.0","33.6","28.359125515431536"
"43.0","0.0","0.0","45.0","56.0","28.8","23.928226010300055"
"37.0","0.0","0.0","48.0","62.0","29.4","25.279240494919936"
"40.0","0.0","0.0","55.0","54.0","29.8","24.90301186603741"
"43.0","0.0","0.0","44.0","63.0","30.0","25.51078203426935"
"45.0","0.0","0.0","48.0","66.0","31.8","26.93993318477238"
"48.0","0.0","0.0","39.0","59.0","29.2","24.66900889780536"
"45.0","0.0","0.0","54.0","54.0","30.6","25.2"
"43.0","0.0","0.0","46.0","56.0","29.0","24.066574330386118"
"39.0","0.0","0.0","50.0","56.0","29.0","24.298148077579903"
"44.0","0.0","0.0","53.0","65.0","32.4","27.28076245268816"
"40.0","0.0","0.0","52.0","64.0","31.2","26.581196361337835"
"39.0","0.0","0.0","54.0","61.0","30.8","26.13350340080717"
"40.0","0.0","0.0","54.0","53.0","29.4","24.507957891264624"
"41.0","0.0","0.0","58.0","66.0","33.0","28.128277586798664"
"39.0","0.0","0.0","57.0","68.0","32.8","28.3365488371467"
"38.0","0.0","0.0","55.0","61.0","30.8","26.255666055158457"
"40.0","0.0","0.0","49.0","70.0","31.8","27.730128019899226"
"44.0","0.0","0.0","57.0","71.0","34.4","29.357111574540166"
"49.0","0.0","0.0","52.0","44.0","29.0","23.815961034566715"
"49.0","0.0","0.0","54.0","71.0","34.8","29.335302964176115"
"40.0","0.0","0.0","61.0","69.0","34.0","29.33257574779276"
"45.0","0.0","0.0","61.0","68.0","34.8","29.376180827330156"
"49.0","0.0","0.0","60.0","57.0","33.2","27.345200675804154"
"41.0","0.0","0.0","61.0","63.0","33.0","28.021420377989408"
"46.0","0.0","0.0","60.0","51.0","31.4","26.027677575995902"
"42.0","0.0","0.0","54.0","54.0","30.0","24.883729623993265"
"42.0","0.0","0.0","60.0","62.0","32.8","27.672368890284762"
"42.0","0.0","0.0","64.0","64.0","34.0","28.89982698910151"
"36.0","2.0","0.0","69.0","61.0","33.6","28.76525682138089"
"42.0","0.0","0.0","68.0","56.0","33.2","28.329489935401238"
"49.0","0.0","0.0","64.0","63.0","35.2","29.22601580783806"
"40.0","2.0","0.0","69.0","64.0","35.0","29.448259710889538"
