"PandaController_2019_07_11__04_22_12__463949axucqtuhun","PandaController_2019_07_11__07_52_35__792458blpwiaskud","PandaController_2019_08_11__08_38_47__735509zcglqsaenn","PandaController_2019_08_11__11_34_05__216181wrezbfoqef","PandaController_2019_08_11__13_28_46__876978roceimuexi","Mean_over_grasps","Std_over_grasps"
"0.0","65.0","2.0","0.0","10.0","15.4","25.07269431074371"
"0.0","59.0","1.0","0.0","8.0","13.6","22.89628790874189"
"0.0","60.0","4.0","0.0","6.0","14.0","23.11709324287982"
"0.0","51.0","2.0","0.0","24.0","15.4","19.975985582694037"
"0.0","66.0","1.0","0.0","20.0","17.4","25.46841180757057"
"0.0","56.0","0.0","0.0","14.0","14.0","21.688706738761535"
"0.0","62.0","1.0","0.0","16.0","15.8","23.886397802933786"
"0.0","60.0","1.0","0.0","18.0","15.8","23.137847782367313"
"0.0","57.0","0.0","0.0","24.0","16.2","22.417850030723287"
"0.0","48.0","0.0","0.0","32.0","16.0","20.23857702507763"
"0.0","50.0","0.0","0.0","30.0","16.0","20.591260281974"
"0.0","53.0","1.0","0.0","26.0","16.0","21.004761364985796"
"0.0","54.0","1.0","0.0","25.0","16.0","21.26969675383267"
"0.0","60.0","0.0","0.0","34.0","18.8","24.4491308638978"
"0.0","59.0","0.0","0.0","30.0","17.8","23.650792798551176"
"0.0","56.0","0.0","0.0","39.0","19.0","23.883048381645086"
"0.0","49.0","1.0","0.0","44.0","18.8","22.675096471680117"
"0.0","64.0","1.0","0.0","51.0","23.2","28.308302669005077"
"0.0","54.0","2.0","0.0","48.0","20.8","24.741867350707384"
"0.0","47.0","2.0","0.0","54.0","20.6","24.524273689550927"
"0.0","47.0","2.0","0.0","56.0","21.0","25.075884829851965"
"0.0","44.0","3.0","0.0","53.0","20.0","23.469128658729534"
"0.0","57.0","4.0","0.0","55.0","23.2","26.82834322130235"
"0.0","57.0","0.0","0.0","46.0","20.6","25.46841180757057"
"0.0","53.0","3.0","0.0","53.0","21.8","25.498235233050934"
"0.0","55.0","3.0","0.0","49.0","21.4","25.08066984751404"
"0.0","65.0","3.0","0.0","45.0","22.6","27.222049886075812"
"0.0","45.0","3.0","0.0","49.0","19.4","22.597344976788754"
